위도,경도,발생건수,사망자수,중상자수,사고지역위치명,nearest_slope_deg,dist_nearest_stop_m
37.413,127.129,11,0,4,집계격자,6.259790904665895,6.268867105431125
37.372,127.147,11,0,2,집계격자,14.432613858344705,68.31716505834426
37.392,127.111,11,0,3,집계격자,6.773012388803978,79.54246876927851
37.474,127.141,11,0,5,집계격자,5.092010258391659,29.950031164644233
37.449,127.143,11,0,4,집계격자,11.248351763842937,43.1675601580895
37.385,127.124,11,0,2,집계격자,5.3818301700236555,51.1968616103123
37.38,127.136,11,0,0,집계격자,7.956478702485237,196.22643458917173
37.443,127.138,11,1,2,집계격자,6.257771509930667,35.75821463125126
37.411,127.129,11,0,6,집계격자,8.43139823142437,64.01673361764995
37.422,127.103,11,0,1,집계격자,5.688206175460285,115.10421638224518
37.368,127.106,11,0,2,집계격자,6.475686570239952,243.09577312044502
37.4,127.109,11,0,2,집계격자,13.307915843922608,25.654967054067377
37.371,127.106,11,0,0,집계격자,9.438244660700565,158.71281280350874
37.399,127.129,11,1,3,집계격자,12.6156656967856,168.08295648851131
37.452,127.149,11,0,3,집계격자,5.533667089786791,23.371503609164566
37.36,127.149,11,0,3,집계격자,5.404609315746144,859.7189291595721
37.34,127.103,11,0,4,집계격자,11.03076605209799,126.3885346165068
37.435,127.179,11,0,4,집계격자,9.822326529130633,11.471943181331671
37.434,127.132,11,0,3,집계격자,5.991415952493499,77.29458095539276
37.43,127.128,11,0,3,집계격자,5.991415952493499,107.47465126067172
37.475,127.133,11,0,0,집계격자,5.444298102399986,400.1244390749172
37.471,127.141,11,0,2,집계격자,9.004030795007733,56.7255962830086
37.47,127.125,11,0,4,집계격자,5.444298102399986,439.9247821126989
37.364,127.108,11,0,3,집계격자,11.455459480277682,196.2339606496327
37.36,127.151,11,0,3,집계격자,8.403547607374042,935.1586120439871
37.47,127.126,10,0,3,집계격자,5.444298102399986,419.60062785155844
37.335,127.109,10,0,4,집계격자,6.563047279322581,103.5944600811561
37.338,127.103,10,0,0,집계격자,11.03076605209799,286.4036883525247
37.435,127.129,10,0,4,집계격자,5.991415952493499,143.1065481700746
37.438,127.142,10,0,4,집계격자,7.367044018436874,9.330255805027427
